date,open,high,low,close,Volume ETH,Volume USDT
8/17/2017,303.61,312.18,298.21,302,6155.32,1890017.53
8/18/2017,302,311.79,283.94,293.96,9392.79,2815460.24
8/19/2017,293.96,299.9,278,290.91,2140.08,618248.58
8/20/2017,290.91,300.53,282.85,299.1,2469.49,730800.66
8/21/2017,299.1,346.52,294.6,323.29,5134.54,1661944.36
8/22/2017,323.29,330.41,144.21,309.8,7807.91,2408767.25
8/23/2017,309.8,324.99,309.41,315.74,8532.37,2711275.03
8/24/2017,315.74,328.04,314.01,323.42,6608.08,2113017.42
8/25/2017,323.42,338.28,323.42,327.24,7026.71,2321556.04
8/26/2017,327.24,335.44,323.41,330.79,4821.82,1583578.33
8/27/2017,330.79,348.13,330.73,348.13,4580.62,1536125.51
8/28/2017,348.13,351,331.95,346,4230.19,1447042.11
8/29/2017,346,377.6,346,374.7,2900.75,1054485.89
8/30/2017,374.7,393.71,362.05,385.93,4331.81,1636125.32
8/31/2017,385.93,389.36,377.78,384.79,4375.31,1681160.72
9/1/2017,384.79,394.39,383.18,388.46,4156.84,1618914.43
9/2/2017,388.46,394.32,320.08,343.14,7919.71,2791543.78
9/3/2017,343.14,367.28,320.08,341.77,5012.55,1718948.68
9/4/2017,341.77,344.55,267.94,283.77,6366.69,1893325.25
9/5/2017,283.77,321.52,235.55,312.09,7840.86,2253410.75
9/6/2017,312.09,336.34,312.09,335,5243.66,1714528.14
9/7/2017,335,342.5,320.17,334.49,2977.82,985179.06
9/8/2017,334.49,335.1,272,302.99,4874.53,1481290.06
9/9/2017,302.99,307,281.66,296.74,2713.25,805572.88
9/10/2017,296.74,302.78,261.03,293.5,4060.25,1155244.93
9/11/2017,293.5,304.98,285.21,297.3,4779.63,1421764.78
9/12/2017,297.3,316.46,286.01,293.96,5140.78,1562612.65
9/13/2017,293.96,294.5,257.05,276.91,6341.5,1730175.07
9/14/2017,276.91,283.77,215,215.21,12488.22,3082667.27
9/15/2017,215.21,270.93,192,253,14101.49,3291332.29
9/16/2017,253,271.81,235.51,249.31,10265.41,2621693.27
9/17/2017,249.31,264.39,239.02,257.55,4589.96,1143692.64
9/18/2017,257.55,306.22,257.11,294.57,4121.19,1181549.67
9/19/2017,294.57,300,277.41,284,1858.5,532540.71
9/20/2017,284,294,275.91,282,1054.54,301038.78
9/21/2017,282,287,252.1,257,1909.37,515321.69
9/22/2017,257,272.97,253.01,264,1463.53,382707.68
9/23/2017,264,286.23,255.11,285.93,2821.68,788085.05
9/24/2017,285.93,294.61,275,282,5544.62,1574147.48
9/25/2017,282,299,281.34,294.42,5861.15,1702847.03
9/26/2017,294.42,296.81,286.24,287.9,4527.17,1320510.93
9/27/2017,287.9,313,286.13,309.74,5467.39,1626645.28
9/28/2017,309.74,311.81,296.89,302.44,6521.08,1984843.83
9/29/2017,302.44,303,274,292.22,10997.93,3187358.83
9/30/2017,292.22,307.49,292.22,304.36,3997.83,1207595.88
10/1/2017,304.36,306,294,303.95,5034.38,1511264.71
10/2/2017,303.95,305,295,296.5,3670.04,1104217.48
10/3/2017,296.5,301.99,283.18,292.48,5518.95,1614235.08
10/4/2017,292.48,297.97,288,291.99,3989.57,1168807.66
10/5/2017,291.99,297.44,285.53,294.81,3370.96,982644.49
10/6/2017,294.81,310.8,293.78,310.8,3510.89,1054697
10/7/2017,310.8,318.5,303.6,311.01,2120.52,658190.78
10/8/2017,311.01,317.07,309,311.07,2952.08,921220.96
10/9/2017,311.07,312.13,286.65,297.19,4852.92,1452816.74
10/10/2017,297.19,308.56,293,298.64,6691.84,2011440.17
10/11/2017,298.64,305.5,298.02,304.01,3715.65,1122578.04
10/12/2017,304.01,310,302.71,303.99,7775.58,2381102.13
10/13/2017,303.99,353.96,297,337.96,17766.25,5782386.5
10/14/2017,337.96,349.8,335,342,7698,2644022.46
10/15/2017,342,348,316.17,337.96,9964.35,3311218.81
10/16/2017,337.96,354,332.78,335.19,8634.15,2946408.58
10/17/2017,335.19,336.58,312.65,315.19,8092.4,2620614.96
10/18/2017,315.19,318,284.68,309.7,12779.33,3877210.96
10/19/2017,309.7,315,300,308.66,8637.51,2662555.18
10/20/2017,308.66,311.18,302,304.51,8696.57,2654276.53
10/21/2017,304.51,305.34,290,298.94,8498.8,2531002.63
10/22/2017,298.94,306.99,290,293.79,7149.29,2113555.82
10/23/2017,293.79,294.6,272.2,281.09,9580.48,2720877.48
10/24/2017,281.09,310,275.5,297.38,13991.58,4230858.49
10/25/2017,297.38,300,281,294.49,9624.76,2818151.89
10/26/2017,294.49,299.76,291.03,294.71,7760.28,2290879.1
10/27/2017,294.71,298.1,292.03,296.33,6230.29,1840292.6
10/28/2017,296.33,297,290.1,291.87,5833.59,1711301.74
10/29/2017,291.87,309.4,291.86,305,8975.34,2702954.94
10/30/2017,305,316,302.1,307.25,8863.26,2725859.28
10/31/2017,307.25,309.99,304.01,304.9,7631.45,2344790.92
11/1/2017,304.9,305.9,286.34,287.01,9807.45,2938149.94
11/2/2017,287.01,293,274.73,283.12,13163.53,3736468.51
11/3/2017,283.12,307,282,304.08,8057.59,2360525.71
11/4/2017,304.08,304.99,292.11,298.04,7765.91,2315342.78
11/5/2017,298.04,302.14,293.13,295.53,6614.04,1967164.34
11/6/2017,295.53,305.58,290.11,297.97,7466.26,2218959.5
11/7/2017,297.97,303.52,287,291.78,9302.34,2731426.72
11/8/2017,291.78,320,290.02,303.02,15603.8,4729826.12
11/9/2017,303.02,329,299.5,317.87,11093.28,3509086.96
11/10/2017,317.87,322.65,285.82,293.5,15463.01,4721270.61
11/11/2017,293.5,318,291.91,310.02,10764.3,3256927.49
11/12/2017,310.02,316.99,281.01,305.24,20889.35,6276531.03
11/13/2017,305.24,318.88,303.7,312.99,15399.84,4804508.58
11/14/2017,312.99,337.54,312.94,335.61,17479.57,5682689.3
11/15/2017,335.61,339,324,331.33,15409.67,5116263.34
11/16/2017,331.33,334.75,321.41,331.49,14065.86,4612016.7
11/17/2017,331.49,334.6,323.84,331.23,18033.21,5951281.48
11/18/2017,331.23,349.9,326.01,346.66,14227.06,4735608.57
11/19/2017,346.66,373.56,343.07,354.15,19280.47,6853939.68
11/20/2017,354.15,372.5,353.9,367.42,18060.1,6522412.41
11/21/2017,367.42,375.5,350.02,362.12,25815.42,9403802.37
11/22/2017,362.12,384.84,359,380.65,17927.22,6582637.83
11/23/2017,380.65,425,370.02,405,25137.24,9979407.1
11/24/2017,405,475,392.8,469,29973.4,12904066.22
11/25/2017,469,484.47,450,461.82,21143.58,9825209.52
11/26/2017,461.82,465,436.14,462.84,21559.21,9794537.68
11/27/2017,462.84,486.94,453,472.31,23533.56,11092308.97
11/28/2017,472.31,477.5,453.5,466.17,23650.24,11077396.79
11/29/2017,466.17,515,385,421.7,50344.11,23217199.77
11/30/2017,421.7,460,387.01,427.43,44559.85,18862295.63
12/1/2017,427.43,465.97,413.74,457.51,32723.55,14317733.79
12/2/2017,457.51,471.91,445,457.63,25506.76,11749838.63
12/3/2017,457.63,485.9,440.11,460.3,24259.95,11328969.12
12/4/2017,460.3,470.98,445,466.67,22821.77,10495993.46
12/5/2017,466.67,468.67,445.21,452.26,25124.57,11542893.64
12/6/2017,452.26,455.1,400,411.01,37604.29,16319473.42
12/7/2017,411.01,427.61,375.01,406.33,40363.47,16448315.18
12/8/2017,406.33,456.78,390,442.56,40380.88,17138384.6
12/9/2017,442.56,488,426.4,460,41096.91,18959683.2
12/10/2017,460,460.05,403.2,427.35,34191.63,14810733.68
12/11/2017,427.35,512,427.35,508.7,29217.01,13524545.46
12/12/2017,508.7,639.27,494.89,620,57688.7,32272500.99
12/13/2017,620,705.69,539.93,683.99,56293.24,35464491.73
12/14/2017,683.99,747.6,630.5,679.76,57181.08,39405168.61
12/15/2017,679.76,689,594.6,674.95,38846.45,25295708.27
12/16/2017,674.95,712,669.22,682.81,26513.5,18224734.51
12/17/2017,682.81,728,680.33,707.64,31020.47,21975505.95
12/18/2017 0:00,707.62,798.88,638,784,45673.70777,32799947.57
12/18/2017,707.64,798.88,638,784,44690.73,32105763.14
12/19/2017 0:00,784,864.9,729.01,798,69423.62125,55123972.02
12/20/2017 0:00,798,828,661,790.21,72526.28416,55604509.75
12/21/2017 0:00,794.62,845.99,705.98,782.41,78222.53998,62052521.65
12/22/2017 0:00,784,796,504.99,635.97,154630.4948,98661808.48
12/23/2017 0:00,635.15,714.99,627.97,640.34,79001.05634,53738833.88
12/24/2017 0:00,640.33,667.64,563.49,658,95431.94156,59101715.15
12/25/2017 0:00,659.4,744,599.99,714.95,78544.84102,55108579.68
12/26/2017 0:00,713.12,750,712.56,750,60052.47905,44216631.9
12/27/2017 0:00,750,766.05,693.18,739.89,51339.2782,38102246.99
12/28/2017 0:00,739.89,744.93,645.88,707.89,72679.61288,50030889.11
12/29/2017 0:00,709.5,757.87,703,733.99,64028.12647,46838775.82
12/30/2017 0:00,732.9,735,635.82,681.06,89879.99994,61752153.66
